"Feature","Gain","Cover","Frequence"
"worst_dpd6",0.65567521365236,0.0524322586212426,0.00420168067226891
"approved_credit_limit",0.0360492181881426,0.0995100506243729,0.0588235294117647
"existing_credit_limit",0.0303314048262546,0.0681219313059168,0.0420168067226891
"res_from_yr",0.0221421022269281,0.0508633042714732,0.0882352941176471
"payment_history_count_STD_months",0.0198612352475625,0.0591602519840289,0.0588235294117647
"Ratio_currbalance_creditlimit",0.0192770947312005,0.0623965494880895,0.0504201680672269
"total_cur_balance_amt",0.0184474143868023,0.0519040281288631,0.0756302521008403
"mean_cur_balance_amt",0.0179177803567935,0.037639376119381,0.0378151260504202
"sd_cur_balance_amt",0.0168369477016865,0.025350598070912,0.0546218487394958
"month_joining",0.0147417957615113,0.0293304032520359,0.046218487394958
"cibil_score",0.0146484650101227,0.032125072909364,0.0420168067226891
"app_age",0.0130364157893673,0.052374895295567,0.0336134453781513
"app_has_cardY",0.0116848227712266,0.0530163990857644,0.00420168067226891
"app_perm_city",0.00963756629915699,0.0311125182731216,0.0294117647058824
"sd_diff_lastpaymt_opened_dt",0.00813599540381132,0.0197980555145997,0.0378151260504202
"utilisation_trend",0.00654725382016805,0.0157764152828836,0.0210084033613445
"total_high_credit_amt",0.00624315396843012,0.0168931269223373,0.0168067226890756
"fee_codePM1",0.00588128649281003,0.0214116784160718,0.0126050420168067
"net_monthly_income",0.00578497427770524,0.0183278926021088,0.0294117647058824
"avg_repayment_tenure",0.00569761324574728,0.0345739779190081,0.00840336134453781
"mean_high_credit_amt",0.00554644935424445,0.0240903790739174,0.00840336134453781
"owner_1",0.0051130717079951,0.00869985606804792,0.0294117647058824
"sd_high_credit_amt",0.00451168978741115,0.0059037524352338,0.0168067226890756
"total_diff_lastpaymt_opened_dt",0.00438249367856013,0.0164864161633789,0.0252100840336134
"industry_typeOthers",0.00424965071374945,0.00776075499593076,0.0168067226890756
"promo_codeCNPX",0.0033551633841091,0.00428780201499221,0.00420168067226891
"num_dependents",0.00318334399113711,0.00379839866967037,0.00420168067226891
"payment_history_mean_length",0.00309583053751015,0.007401746529606,0.0210084033613445
"app_perm_state",0.00306636020296189,0.00543492857594181,0.0168067226890756
"app_existing_rbl_custY",0.00242273799150308,0.0122262343248662,0.00420168067226891
"office_cityNew.Delhi",0.00226891879196295,0.00239342566077084,0.00420168067226891
"existing_card_age",0.00218655518948425,0.00186757005572045,0.00840336134453781
"card_namePlatinum.Maxima",0.00203361657394112,0.00645215547465379,0.00840336134453781
"res_from_month",0.00190421922069148,0.0119670852415273,0.00420168067226891
"edu_qualificationGraduate",0.0018533658791854,0.00363325249285765,0.0126050420168067
"types_of_writ_off",0.00175294352674498,0.00257407212215449,0.00420168067226891
"edu_qualificationPost.Graduate",0.00165710088190363,0.000955350641176301,0.00420168067226891
"app_office_state",0.00160460264694497,0.00365603461690891,0.00420168067226891
"id_proofPAN.Card",0.00137463200795594,0.00165090626411004,0.00420168067226891
"aip_status",0.00121305651388578,0.0014459360473718,0.00420168067226891
"app_state",0.00115751864998967,0.000517376632881989,0.00420168067226891
"app_employment_type",0.000887515748511869,0.00840018964132023,0.00420168067226891
"promo_codeCNTX",0.000785377228561014,0.000631099932016213,0.00420168067226891
"years_exp",0.000742130645816549,0.00718684398716617,0.00420168067226891
"total_writtn_off_amt",0.00050654682538971,0.00215315940778156,0.00420168067226891
"override_fee_codePD3",0.000408530321784139,0.00746271417204389,0.00840336134453781
"fee_codePD1",0.000134232808938628,0.00149925797366698,0.00420168067226891
"promo_codeINTX",1.83015010175606e-05,0.0050466678709477,0.00420168067226891
"app_pref_mailing_addrR",6.28953032083225e-06,0.00229784882619611,0.00420168067226891
